event_type,event_date,day,car
spike,2022-04-14,6,0.1250179329440207
spike,2022-04-14,7,0.11075454805066304
spike,2022-04-14,8,0.10201180967404738
spike,2022-04-14,9,0.1091973694297846
spike,2022-04-14,10,0.08854188304133227
spike,2022-04-14,11,0.1279664688089138
spike,2022-04-14,12,0.11638295472516964
spike,2022-04-14,13,0.12527144493188763
spike,2022-04-14,14,0.08637742647843193
spike,2022-04-14,15,0.10589749244217929
spike,2022-04-14,16,0.08643050558782962
spike,2022-04-14,17,0.0690471845815947
spike,2022-04-14,18,0.0796007335462125
spike,2022-04-14,19,0.07658494174616834
spike,2022-04-14,20,0.0540192460202452
spike,2022-05-16,1,-0.004830255792132941
spike,2022-05-16,2,0.03162613823399019
spike,2022-05-16,3,0.05907622705722256
spike,2022-05-16,4,0.06843565482234587
spike,2022-05-16,5,0.05127435432617485
spike,2022-05-16,6,0.04302205589485214
spike,2022-05-16,7,-0.001648830798239298
spike,2022-05-16,8,0.018477462403978684
spike,2022-05-16,9,0.04441649093140726
spike,2022-05-16,10,0.04107863353468578
spike,2022-05-16,11,0.041205472431273524
spike,2022-05-16,12,0.010030254282309074
spike,2022-05-16,13,-0.005204968350741024
spike,2022-05-16,14,-0.011272581817589462
spike,2022-05-16,15,-0.004031797918066544
spike,2022-05-16,16,-0.0006140857405728907
spike,2022-05-16,17,-0.020981192569899
spike,2022-05-16,18,-0.021139363362864892
spike,2022-05-16,19,-0.016720545219633905
spike,2022-05-16,20,-0.049630507156105653
spike,2022-10-07,1,0.0027281116275691894
spike,2022-10-07,2,0.009756605625884682
spike,2022-10-07,3,0.012636100533038253
spike,2022-10-07,4,0.033788180356282255
spike,2022-10-07,5,0.03122855535800477
spike,2022-10-07,6,0.0733461266701534
spike,2022-10-07,7,0.04903870551845678
spike,2022-10-07,8,0.06235420035672017
spike,2022-10-07,9,0.08401323704540632
spike,2022-10-07,10,0.08876739119708074
spike,2022-10-07,11,0.07718885680824865
spike,2022-10-07,12,0.09312590393971389
